Sector,University,Year,Completions,Geography
"Private for-profit, 2-year",Carrington College-Reno,2015,205,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2015,78,Nevada
"Public, 2-year",Truckee Meadows Community College,2015,2355,Nevada
"Private not-for-profit, 4-year or above",Touro University Nevada,2015,402,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2015,162,Nevada
"Private for-profit, less-than 2-year",Institute of Professional Careers,2015,25,Nevada
"Private for-profit, 2-year",Nevada Career Institute,2015,169,Nevada
"Private not-for-profit, 2-year",Everest College-Henderson,2015,357,Nevada
"Private for-profit, 2-year",Carrington College-Las Vegas,2015,203,Nevada
"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2015,316,Nevada
"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2015,68,Nevada
"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2014,418,Nevada
"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2014,75,Nevada
"Public, 4-year or above",College of Southern Nevada,2014,4608,Nevada
"Private for-profit, less-than 2-year",Healthcare Preparatory Institute,2014,8,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2014,224,Nevada
"Private for-profit, 2-year",Nevada Career Institute,2014,130,Nevada
"Private not-for-profit, 2-year",Everest College-Henderson,2014,374,Nevada
"Public, 4-year or above",Western Nevada College,2014,842,Nevada
"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2014,290,Nevada
"Public, 4-year or above",Great Basin College,2014,704,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2014,82,Nevada
"Private for-profit, less-than 2-year",Advanced Training Institute,2014,147,Nevada
"Public, 2-year",Truckee Meadows Community College,2014,2286,Nevada
"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2014,83,Nevada
"Public, 4-year or above",Nevada State College,2014,365,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2014,104,Nevada
"Private for-profit, less-than 2-year",Institute of Professional Careers,2014,10,Nevada
"Public, 4-year or above",University of Nevada-Las Vegas,2014,5093,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Sparks,2014,310,Nevada
"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2014,256,Nevada
"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2014,106,Nevada
"Public, 4-year or above",University of Nevada-Reno,2014,3550,Nevada
"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2014,81,Nevada
"Private for-profit, 2-year",Northwest Career College,2014,164,Nevada
"Private not-for-profit, 4-year or above",Sierra Nevada College,2014,275,Nevada
"Private for-profit, 2-year",Casal Institute of Nevada,2014,94,Nevada
"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2014,277,Nevada
"Private for-profit, 2-year",Carrington College-Reno,2014,157,Nevada
"Private not-for-profit, 4-year or above",Touro University Nevada,2014,349,Nevada
"Private for-profit, 2-year",Carrington College-Las Vegas,2014,113,Nevada
"Private for-profit, 2-year",International Academy of Style,2014,69,Nevada
"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2014,189,Nevada
"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2014,567,Nevada
"Private for-profit, 2-year",Brightwood College-Las Vegas,2014,624,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2014,218,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2014,138,Nevada
"Private for-profit, 4-year or above",University of Phoenix-Nevada,2014,708,Nevada
"Private for-profit, 4-year or above",DeVry University-Nevada,2014,127,Nevada
"Private for-profit, 2-year",Career College of Northern Nevada,2014,239,Nevada
"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2014,0,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Reno,2014,93,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2014,183,Nevada
"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2013,0,Nevada
"Private for-profit, 4-year or above",DeVry University-Nevada,2013,97,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2013,217,Nevada
"Private for-profit, 2-year",Career College of Northern Nevada,2013,275,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2013,128,Nevada
"Private for-profit, 2-year",Brightwood College-Las Vegas,2013,575,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2013,168,Nevada
"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2013,588,Nevada
"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2013,194,Nevada
"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2013,55,Nevada
"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2013,412,Nevada
"Private for-profit, 2-year",Carrington College-Las Vegas,2013,77,Nevada
"Private for-profit, 2-year",International Academy of Style,2013,55,Nevada
"Private for-profit, 2-year",Carrington College-Reno,2013,135,Nevada
"Private not-for-profit, 4-year or above",Touro University Nevada,2013,372,Nevada
"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2013,438,Nevada
"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2013,99,Nevada
"Private for-profit, 2-year",Casal Institute of Nevada,2013,65,Nevada
"Private not-for-profit, 4-year or above",Sierra Nevada College,2013,232,Nevada
"Private for-profit, 2-year",Northwest Career College,2013,116,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Reno,2013,91,Nevada
"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2013,84,Nevada
"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2013,111,Nevada
"Public, 4-year or above",University of Nevada-Reno,2013,3551,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Sparks,2013,293,Nevada
"Public, 2-year",Truckee Meadows Community College,2013,1633,Nevada
"Public, 4-year or above",University of Nevada-Las Vegas,2013,5278,Nevada
"Private for-profit, less-than 2-year",Institute of Professional Careers,2013,8,Nevada
"Public, 4-year or above",College of Southern Nevada,2013,2741,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2013,105,Nevada
"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2013,63,Nevada
"Public, 4-year or above",Nevada State College,2013,303,Nevada
"Private for-profit, less-than 2-year",Advanced Training Institute,2013,157,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2013,110,Nevada
"Public, 4-year or above",Great Basin College,2013,422,Nevada
"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2013,372,Nevada
"Private not-for-profit, 2-year",Everest College-Henderson,2013,416,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2013,304,Nevada
"Private for-profit, 2-year",Nevada Career Institute,2013,184,Nevada
"Public, 4-year or above",Western Nevada College,2013,522,Nevada
"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2012,110,Nevada
"Private for-profit, 2-year",Career College of Northern Nevada,2012,333,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2012,78,Nevada
"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2012,388,Nevada
"Public, 4-year or above",University of Nevada-Reno,2012,3453,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Sparks,2012,248,Nevada
"Private for-profit, 2-year",International Academy of Style,2012,75,Nevada
"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2012,122,Nevada
"Private for-profit, 2-year",Carrington College-Reno,2012,145,Nevada
"Public, 4-year or above",College of Southern Nevada,2012,2348,Nevada
"Private for-profit, less-than 2-year",Institute of Professional Careers,2012,13,Nevada
"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2012,51,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2012,118,Nevada
"Public, 4-year or above",University of Nevada-Las Vegas,2012,5388,Nevada
"Private not-for-profit, 4-year or above",Touro University Nevada,2012,430,Nevada
"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2012,21,Nevada
"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2012,368,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2012,153,Nevada
"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2012,593,Nevada
"Public, 4-year or above",Nevada State College,2012,272,Nevada
"Private for-profit, less-than 2-year",Advanced Training Institute,2012,218,Nevada
"Private for-profit, 2-year",Paul Mitchell the School-Reno,2012,78,Nevada
"Private not-for-profit, 2-year",Everest College-Henderson,2012,536,Nevada
"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2012,200,Nevada
"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2012,263,Nevada
"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2012,392,Nevada
"Private for-profit, 2-year",Northwest Career College,2012,138,Nevada
"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2012,113,Nevada
"Public, 4-year or above",Great Basin College,2012,452,Nevada
"Private for-profit, 2-year",Brightwood College-Las Vegas,2012,568,Nevada
"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2012,325,Nevada
"Private for-profit, 2-year",Casal Institute of Nevada,2012,87,Nevada
"Private not-for-profit, 4-year or above",Sierra Nevada College,2012,241,Nevada
"Private for-profit, 2-year",Carrington College-Las Vegas,2012,120,Nevada
"Public, 4-year or above",Western Nevada College,2012,495,Nevada
"Private for-profit, 2-year",Nevada Career Institute,2012,101,Nevada
"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2012,129,Nevada
"Public, 2-year",Truckee Meadows Community College,2012,1170,Nevada
